,equity,drawdown,capital
2020-03-10,97761.27189782752,-0.030694751568584873,135269.8996477689
2020-03-11,98054.98603438433,-0.027782569182081537,135269.8996477689
2020-03-12,98541.15807040346,-0.022962162317424154,135269.8996477689
2020-03-13,95734.41689035278,-0.050791065358446956,135269.8996477689
2020-03-16,94794.53974582236,-0.06010996875841703,135269.8996477689
2020-03-17,95172.5524705443,-0.056361963940826536,135269.8996477689
2020-03-18,95149.51198145389,-0.056590410917509645,135269.8996477689
2020-03-19,96473.8368605894,-0.04345969942967271,135269.8996477689
2020-03-20,95238.81221896528,-0.05570499701867634,135269.8996477689
2020-03-23,95244.95593679849,-0.055644081915742334,135269.8996477689
2020-03-24,95992.701910062,-0.04823016347639072,135269.8996477689
2020-03-25,95851.12741665167,-0.04963387781891759,135269.8996477689
2020-03-26,96380.03810070803,-0.04438971628076688,135269.8996477689
2020-03-27,98050.63597453911,-0.02782570012501129,135269.8996477689
2020-03-30,98322.58981325912,-0.02512927158961046,135269.8996477689
2020-03-31,98899.07997508248,-0.019413358440398733,135269.8996477689
2020-04-01,99545.63476986552,-0.01300275285174928,135269.8996477689
2020-04-02,99278.9469899313,-0.01564696829375914,135269.8996477689
2020-04-03,98636.82391068357,-0.02201363332144273,135269.8996477689
2020-04-06,97805.95765832342,-0.030251691230498368,135269.8996477689
2020-04-07,96226.91248168476,-0.04590796029812873,135269.8996477689
2020-04-08,97304.37113820239,-0.03522493305783351,135269.8996477689
2020-04-09,96292.04173705367,-0.04526220224046459,135269.8996477689
2020-04-10,97723.7530138136,-0.031066752162316785,135269.8996477689
2020-04-13,97248.33357123396,-0.03578054681691587,135269.8996477689
2020-04-14,99564.98488806067,-0.012810895986957902,135269.8996477689
2020-04-15,100277.47442321689,-0.00574654593839101,135269.8996477689
2020-04-16,97808.2342205611,-0.03022911906380561,135269.8996477689
2020-04-17,99094.03908405534,-0.0174803344126998,135269.8996477689
2020-04-20,99621.16225222936,-0.012253896135435278,135269.8996477689
2020-04-21,99690.59355651625,-0.01156548316428391,135269.8996477689
2020-04-22,98162.01831057973,-0.02672134171384451,135269.8996477689
2020-04-23,98359.4295489153,-0.024764004767389918,135269.8996477689
2020-04-24,98491.52797740515,-0.02345424582543825,135269.8996477689
2020-04-27,99344.8070437267,-0.014993964352969786,135269.8996477689
2020-04-28,102134.35214632344,0.0,135269.8996477689
2020-04-29,102672.34203383148,0.0,135269.8996477689
2020-04-30,101925.0857069918,-0.007278068387623312,135269.8996477689
2020-05-01,101054.89516503399,-0.015753481772769185,135269.8996477689
2020-05-04,99654.36149787396,-0.029394289408174394,135269.8996477689
2020-05-05,99041.24020770138,-0.03536591991768934,135269.8996477689
2020-05-06,98977.8857773939,-0.035982974414085385,135269.8996477689
2020-05-07,97060.12256958199,-0.05466145364055501,135269.8996477689
2020-05-08,98088.16215357461,-0.04464863457333366,135269.8996477689
2020-05-11,97980.2944926952,-0.045699235531124816,135269.8996477689
2020-05-12,97604.71589259105,-0.049357266434719084,135269.8996477689
2020-05-13,99905.64728656912,-0.02694683585137959,135269.8996477689
2020-05-14,98418.08875335832,-0.04143524143114749,135269.8996477689
2020-05-15,98001.19987010495,-0.045495622980796,135269.8996477689
2020-05-18,98887.23509898705,-0.03686588676040137,135269.8996477689
2020-05-19,97580.33168938503,-0.049594761778869165,135269.8996477689
2020-05-20,98341.9382590658,-0.042176926024914886,135269.8996477689
2020-05-21,97013.0361346316,-0.05512006239552884,135269.8996477689
2020-05-22,96313.29394240637,-0.06193535635263628,135269.8996477689
2020-05-25,96970.4627787144,-0.055534715018366446,135269.8996477689
2020-05-26,95745.87786537841,-0.06746183082266431,135269.8996477689
2020-05-27,93625.61375358858,-0.08811261242352801,135269.8996477689
2020-05-28,92409.11033991355,-0.0999610166731767,135269.8996477689
