,equity,drawdown,capital
2020-01-02,100551.75030551844,0.0,188605.73662941155
2020-01-03,97016.66780538185,-0.03515684699068414,188605.73662941155
2020-01-06,94384.71962012953,-0.06133190786486438,188605.73662941155
2020-01-07,93983.08417575192,-0.0653262236590427,188605.73662941155
2020-01-08,93441.20202258768,-0.07071531088544881,188605.73662941155
2020-01-09,93787.4331603528,-0.06727199799717859,188605.73662941155
2020-01-10,92566.68883101702,-0.07941245627489774,188605.73662941155
2020-01-13,90966.14795252109,-0.09533003974443272,188605.73662941155
2020-01-14,88543.25449729271,-0.11942602462651192,188605.73662941155
2020-01-15,90099.96305820326,-0.1039443591539507,188605.73662941155
2020-01-16,91884.88253079176,-0.08619310701597033,188605.73662941155
2020-01-17,92041.63104550517,-0.08463422301606832,188605.73662941155
2020-01-20,92258.56628223119,-0.0824767743782587,188605.73662941155
2020-01-21,89736.80662006888,-0.10755599631621746,188605.73662941155
2020-01-22,87708.50889398655,-0.12772767627126055,188605.73662941155
2020-01-23,86587.87962905208,-0.13887247744607378,188605.73662941155
2020-01-24,86793.29067925506,-0.13682963831518988,188605.73662941155
2020-01-27,86215.04287136253,-0.14258038662275863,188605.73662941155
2020-01-28,85159.13718779158,-0.15308150351393818,188605.73662941155
2020-01-29,83857.46808108213,-0.16602676903894828,188605.73662941155
2020-01-30,84152.68643350662,-0.16309078481662004,188605.73662941155
2020-01-31,83736.47116522616,-0.16723009882175494,188605.73662941155
2020-02-03,85022.74990548934,-0.15443789245682418,188605.73662941155
2020-02-04,85760.51847139496,-0.1471006898356469,188605.73662941155
2020-02-05,86281.24466809939,-0.1419220012984285,188605.73662941155
2020-02-06,84373.00248510815,-0.16089971354305074,188605.73662941155
2020-02-07,83981.07585301257,-0.16479747395900313,188605.73662941155
2020-02-10,84339.60723703653,-0.1612318335506106,188605.73662941155
2020-02-11,85104.94481364141,-0.15362045359671156,188605.73662941155
2020-02-12,85602.80161350992,-0.14866920413207463,188605.73662941155
2020-02-13,85669.1950747729,-0.14800891267955144,188605.73662941155
